caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
10004,0,491,13-Oct-06,1,54,1,1,1, , ,3,1,AR,AR,1,1,9,2005, , ,3, , , , , ,3,3,2,2, , ,3, ,1,3,7,6,5,5,5,5,4,5,4
10036,0,492,22-Sep-06,2,43,4,4, ,2, ,6, ,LA,LA,1,2,9,2005,1, , , , , , , ,3,3,2,3, , , ,4,1,2,7,2,3,2,2,3,1,5,10
10081,0,491,27-Sep-06,2,40,1,1, ,2, ,4,1,AR,AR,3, , , , ,2, , , , , , ,2,2,1,2, , ,3, ,1,2,3,5,3,5,4,5,3,5,9
10097,0,491,18-Sep-06,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,3, ,3,5,5,5,5,5,5,0
10129,0,480,9-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10149,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10170,0,491,9-Oct-06,2,61,5,5, ,2, ,5,1,TX,TX,1,2,10,2005, , , , , , ,7, ,3,5,1,3, , ,3, ,2,2,2,5,1,1,1,1,1,1,10
10189,1,410,16-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10203,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10220,0,491,5-Oct-06,1,23,5,1, , ,3,4,1,TX,MO,3, , , ,1, , , , , , , ,1,1,2,2, ,2, , ,2,2,3,1,5,5,5,5,5,5,2
10247,0,493,3-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10261,0,492,22-Sep-06,1,46,1,1,1, , ,4,1,LA,AR,1,1,10,2005,1, , , , , , , ,2,2,2,3, , ,3, ,1,3,7,5,3,3,3,4,1,4,10
